Timp,Nivel de oxigen,Puls cardiac,Mişcare
20:56:42 15/10/2025,85,77,1
20:56:46 15/10/2025,86,75,0
20:56:50 15/10/2025,87,71,0
20:56:54 15/10/2025,88,71,0
20:56:58 15/10/2025,88,73,0
20:57:02 15/10/2025,88,74,0
20:57:06 15/10/2025,87,75,0
20:57:10 15/10/2025,86,74,0
20:57:14 15/10/2025,86,74,0
20:57:18 15/10/2025,86,74,1
20:57:22 15/10/2025,86,74,0
20:57:26 15/10/2025,86,73,0
20:57:30 15/10/2025,86,74,0
20:57:34 15/10/2025,87,75,0
20:57:38 15/10/2025,87,74,0
20:57:42 15/10/2025,86,72,0
20:57:46 15/10/2025,86,72,0
20:57:50 15/10/2025,86,74,0
20:57:54 15/10/2025,86,74,0
20:57:58 15/10/2025,85,74,0
20:58:02 15/10/2025,85,74,0
20:58:06 15/10/2025,85,73,0
20:58:10 15/10/2025,86,72,0
20:58:14 15/10/2025,86,74,1
20:58:18 15/10/2025,87,74,1
20:58:22 15/10/2025,87,72,0
20:58:26 15/10/2025,86,72,0
20:58:30 15/10/2025,86,74,0
20:58:34 15/10/2025,86,76,0
20:58:38 15/10/2025,85,76,0
20:58:42 15/10/2025,85,76,0
20:58:46 15/10/2025,85,75,0
20:58:50 15/10/2025,85,73,0
20:58:54 15/10/2025,85,72,0
20:58:58 15/10/2025,86,72,0
20:59:02 15/10/2025,86,74,0
20:59:06 15/10/2025,86,75,0
20:59:10 15/10/2025,85,75,0
20:59:14 15/10/2025,85,75,0
20:59:18 15/10/2025,85,75,0
20:59:22 15/10/2025,85,75,0
20:59:26 15/10/2025,85,74,0
20:59:30 15/10/2025,85,74,0
20:59:34 15/10/2025,85,74,0
20:59:38 15/10/2025,86,74,0
20:59:42 15/10/2025,86,75,0
20:59:46 15/10/2025,86,75,1
20:59:50 15/10/2025,86,74,0
20:59:54 15/10/2025,85,74,0
20:59:58 15/10/2025,85,75,0
21:00:02 15/10/2025,86,74,0
21:00:06 15/10/2025,87,74,0
21:00:10 15/10/2025,86,74,0
21:00:14 15/10/2025,86,73,0
21:00:18 15/10/2025,86,71,0
21:00:22 15/10/2025,86,71,0
21:00:26 15/10/2025,85,73,0
21:00:30 15/10/2025,85,74,0
21:00:34 15/10/2025,85,74,0
21:00:38 15/10/2025,85,74,0
21:00:42 15/10/2025,85,73,0
21:00:46 15/10/2025,85,72,0
21:00:50 15/10/2025,85,72,1
21:00:54 15/10/2025,85,73,0
21:00:58 15/10/2025,85,73,0
21:01:02 15/10/2025,86,74,0
21:01:06 15/10/2025,85,74,0
21:01:10 15/10/2025,85,72,0
21:01:14 15/10/2025,85,71,0
21:01:18 15/10/2025,85,72,0
21:01:22 15/10/2025,85,73,0
21:01:26 15/10/2025,85,73,1
21:01:30 15/10/2025,85,73,0
21:01:34 15/10/2025,85,74,0
21:01:38 15/10/2025,86,74,1
21:01:42 15/10/2025,86,73,0
21:01:46 15/10/2025,86,73,0
21:01:50 15/10/2025,85,73,0
21:01:54 15/10/2025,85,73,0
21:01:58 15/10/2025,85,73,0
21:02:02 15/10/2025,85,73,0
21:02:06 15/10/2025,85,74,0
21:02:10 15/10/2025,85,74,0
21:02:14 15/10/2025,85,73,0
21:02:18 15/10/2025,85,72,0
21:02:22 15/10/2025,85,72,1
21:02:26 15/10/2025,85,73,0
21:02:30 15/10/2025,85,73,0
21:02:34 15/10/2025,85,73,0
21:02:38 15/10/2025,85,73,0
21:02:42 15/10/2025,85,73,0
21:02:46 15/10/2025,85,72,0
21:02:50 15/10/2025,85,73,0
21:02:54 15/10/2025,85,74,0
